fecha,valor
2022-03-30,4077653.728
2022-03-31,4128756.952
2022-04-01,4128510.729
2022-04-04,4086738.546
2022-04-05,4138639.428
2022-04-06,4107407.272
2022-04-07,4134559.617
2022-04-08,4148708.998
2022-04-11,4118048.125
2022-04-12,4152941.966
2022-04-13,4143449.577
2022-04-18,4078126.943
2022-04-19,4145240.634
2022-04-20,4140944.159
2022-04-21,4184053.523
2022-04-22,4197620.245
2022-04-25,4203810.842
2022-04-26,4258859.655
2022-04-27,4226535.418
2022-04-28,4252493.146
2022-04-29,4305304.028
2022-05-02,4256569.216
2022-05-03,4299307.273
2022-05-04,4261859.813
2022-05-05,4298582.442
2022-05-06,4304432.047
2022-05-09,4256082.969
2022-05-10,4305056.099
2022-05-11,4293194.516
2022-05-12,4296493.307
2022-05-13,4339169.817
2022-05-16,4388716.146
2022-05-17,4433556.777
2022-05-19,4388564.227
2022-05-20,4435846.365
2022-05-23,4430148.984
2022-05-24,4489411.274
2022-05-26,4477309.776
2022-05-27,4482651.418
2022-05-30,4461872.017
2022-05-31,4500280.464
2022-06-01,4472911.917
2022-06-02,4512848.869
2022-06-03,4526379.805
2022-06-06,4535723.345
2022-06-07,4607194.565
2022-06-08,4592859.792
2022-06-09,4627547.218
2022-06-10,4662427.377
2022-06-13,4605914.344
2022-06-14,4672217.738
2022-06-15,4673099.2
2022-06-16,4686869.665
2022-06-21,4683796.087
2022-06-22,4715574.238
2022-06-23,4760076.187
2022-06-24,4842649.28
2022-06-27,4798165.89
2022-06-28,4882202.457
2022-06-29,4891650.924
2022-06-30,4917163.897
2022-07-01,4964819.845
2022-07-04,4907780.823
2022-07-05,4988958.17
2022-07-06,4979474.924
2022-07-07,5005636.225
2022-07-08,5042176.716
2022-07-11,5004276.866
2022-07-12,5078305.775
2022-07-13,5070526.428
2022-07-14,5097548.752
2022-07-15,5129969.388
2022-07-18,5154397.906
2022-07-19,5198288.066
2022-07-20,5250662.144
2022-07-21,5165265.753
2022-07-22,5183713.735
2022-07-25,5155440.405
2022-07-26,5214092.233
2022-07-27,5204257.03
2022-07-28,5203473.434
2022-07-29,5227361.292
2022-08-01,5177366.191
2022-08-02,5283931.231
2022-08-03,5245329.954
2022-08-04,5286954.221
2022-08-05,5296228.421
2022-08-08,5294886.659
2022-08-09,5333531.515
2022-08-10,5326331.717
2022-08-11,5305575.223
2022-08-12,5358214.965
2022-08-16,5350988.33
2022-08-17,5377696.378
2022-08-18,5427925.008
2022-08-19,5501189.816
2022-08-22,5431462.689
2022-08-23,5523301.158
2022-08-24,5515426.259
2022-08-25,5541503.272
2022-08-26,5598690.525
2022-08-29,5544984.429
2022-08-30,5605185.442
2022-08-31,5603138.624
2022-09-01,5630721.802
2022-09-05,5538504.517
2022-09-06,5630557.871
2022-09-07,5633401.112
