fecha,valor
2022-03-31,3513786.0
2022-04-01,3759067.0
2022-04-04,3835313.0
2022-04-05,3687780.0
2022-04-06,3573493.0
2022-04-07,3660843.0
2022-04-08,3657293.0
2022-04-11,3691087.0
2022-04-12,3818835.0
2022-04-13,3712850.0
2022-04-18,3647250.0
2022-04-19,3521457.0
2022-04-20,3515340.0
2022-04-21,3547388.0
2022-04-22,3485925.0
2022-04-25,3640121.0
2022-04-26,3522236.0
2022-04-27,3449239.0
2022-04-28,3460757.0
2022-04-29,3509534.0
2022-05-02,3736854.0
2022-05-03,3719602.0
2022-05-04,3727902.0
2022-05-05,3685747.0
2022-05-06,3730173.0
2022-05-09,3749753.0
2022-05-10,3697949.0
2022-05-11,3741548.0
2022-05-12,3672283.0
2022-05-13,3662391.0
2022-05-16,3741240.0
2022-05-17,3677847.0
2022-05-19,3686176.0
2022-05-20,3672552.0
2022-05-23,3723622.0
2022-05-24,3703150.0
2022-05-26,3698929.0
2022-05-27,3701208.0
2022-05-30,3667925.0
2022-05-31,3767808.0
2022-06-01,3981551.0
2022-06-02,3838605.0
2022-06-03,3830186.0
2022-06-06,3925780.0
2022-06-07,3831448.0
2022-06-08,3818860.0
2022-06-09,3806374.0
2022-06-10,3841073.0
2022-06-13,3925128.0
2022-06-14,3916437.0
2022-06-15,3933647.0
2022-06-16,3934191.0
2022-06-21,3940012.0
2022-06-22,3847073.0
2022-06-23,3878247.0
2022-06-24,3866038.0
2022-06-27,3926648.0
2022-06-28,3952805.0
2022-06-29,3947825.0
2022-06-30,3981921.0
2022-07-01,4165267.0
2022-07-04,4244391.0
2022-07-05,4239681.0
2022-07-06,4275879.0
2022-07-07,4197586.0
2022-07-08,4209474.0
2022-07-11,4311437.0
2022-07-12,4206334.0
2022-07-13,4199211.0
2022-07-14,4193033.0
2022-07-15,4123504.0
2022-07-18,4170578.0
2022-07-19,4263166.0
2022-07-20,4162219.0
2022-07-21,4166839.0
2022-07-22,4203303.0
2022-07-25,4204825.0
2022-07-26,4226162.0
2022-07-27,4209981.0
2022-07-28,4245775.0
2022-07-29,4316999.0
2022-08-01,4367335.0
2022-08-02,4390176.0
2022-08-03,4355886.0
2022-08-04,4357891.0
2022-08-05,4301029.0
2022-08-08,4364294.0
2022-08-09,4368592.0
2022-08-10,4411665.0
2022-08-11,4312801.0
2022-08-12,4275295.0
2022-08-16,4363998.0
2022-08-17,4360112.0
2022-08-18,4256380.0
2022-08-19,4246467.0
2022-08-22,4289601.0
2022-08-23,4147066.0
2022-08-24,4193081.0
2022-08-25,4236604.0
2022-08-26,4211668.0
2022-08-29,4340968.0
2022-08-30,4218733.0
2022-08-31,4191384.0
2022-09-01,4318493.0
2022-09-05,4408378.0
2022-09-06,4393837.0
2022-09-07,4254565.0
2022-09-08,4228921.0
2022-09-09,4143840.0
2022-09-12,4276589.0
2022-09-13,4173625.0
2022-09-14,4107049.0
2022-09-15,4264815.0
2022-09-16,4110170.0
2022-09-19,4284228.0
2022-09-20,4062769.0
2022-09-21,4032015.0
2022-09-22,4082464.0
2022-09-23,4070898.0
2022-09-26,4094919.0
2022-09-27,4168042.0
2022-09-28,4038943.0
2022-09-29,4178355.0
2022-09-30,4099049.0
2022-10-03,4190658.0
2022-10-04,4156690.0
2022-10-05,4296449.0
2022-10-06,4312375.0
2022-10-11,4351187.0
2022-10-12,4173239.0
2022-10-13,4209231.0
2022-10-14,4137413.0
2022-10-17,4220488.0
2022-10-18,4243316.0
2022-10-19,4164866.0
2022-10-20,4219615.0
2022-10-21,4176078.0
2022-10-24,4252220.0
2022-10-25,4173457.0
2022-10-26,4207326.0
2022-10-27,4317763.0
2022-10-28,4267843.0
2022-10-31,4298889.0
