periodo,anio,trimestre,cuenta_capital,fuente,fecha_carga
2019T4,2019,4,27.47127608123742,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2020T1,2020,1,42.42611306019008,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2020T2,2020,2,31.623968117434817,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2020T3,2020,3,40.351523924032264,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2020T4,2020,4,50.36086845166849,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2021T1,2021,1,45.77750525194855,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2021T2,2021,2,93.90228939670293,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2021T3,2021,3,70.26724174242838,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2021T4,2021,4,43.04098381674538,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2022T1,2022,1,34.244606385735075,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2022T2,2022,2,26.90949009999555,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2022T3,2022,3,81.27592230954066,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2022T4,2022,4,49.08451237347649,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2023T1,2023,1,25.926238677759795,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2023T2,2023,2,48.014513465229044,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2023T3,2023,3,36.92844760924051,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2023T4,2023,4,76.4090219970287,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2024T1,2024,1,93.7171453706089,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2024T2,2024,2,55.16395460501982,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2024T3,2024,3,43.900396542088004,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2024T4,2024,4,75.53561140504468,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2025T1,2025,1,54.677797076286474,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2025T2,2025,2,164.82925994083917,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2025T3,2025,3,134.76603325622557,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2025T4,2025,4,-9.085912919686379,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
